source,text
51,"I've never been totally successful in waiting till the exact opportune moment to till my garden and I don't suppose that I ever will be.  
I usually till my garden once or twice and when I'm ready to plant I am greeted with tremendous dirt clods (more than my 2 year old son has the tenacity to smash with a hammer).   I could till it again, but generally part of the garden is OK, so I plant a few rows and then find that I've got really bad conditions in the rest of the garden. So I get out the mantis and do what I can. 
What can I do after I've screwed up everything besides find a new part of my lawn to decimate? What I'd like would be some sort of soil amendment that can magically unclod my dirt as easily as I could do with a pitchfork or hammer after a good rain. 


Sounds like you may be tilling when it is too wet. Next time, wait until it dries out some more. Give your soil the squeeze test before tilling:

This test should be with soil from a 2 1/2 - 3' depth. 1. Pick up a handful of soil. 2. Squeeze it into a small ball. 3. Upon applying pressure to the ball the ball should crumble. If your fingers' pressure causes it to compress more, it is still still too wet to till.

This time, assuming it is dry enough now, you should be able to just run the tiller through it again to break up the clods.
You might also want to check if you have high enough organic matter in the soil. I find that adding gobs of compost over time makes it so I don't get big dirt clumps.
"
54,"After three years of pulling, hoeing, and tilling, one corner of my garden is still infested with this vile weed. I live in Southeast Colorado, and the brutally-hot summer days seem to keep it under control except for this one, shaded corner...
Is there anything I can do to discourage its growth (short of paving this section of my garden over)? Or am I doomed to spend my days pulling these quick-growing little beasts...


If it's a shaded part of the garden, you could grow something that likes part shade and grows pretty big, like turnips, kohlrabi, kale, brussels sprouts, cauliflower or broccoli and mulch the pants off of that section.
"
56,"Researching growing jalapeños, I've seen people mention how water-starving your jalapeño plants can lead to spicier peppers. How true is this? If there's any truth to it, what tips can you provide about watering amounts? How much is too little? Does this vary by the growth stage of the plant?
What other factors affect the spiciness of peppers?


Planting capsicum varieties that are hotter than jalapenos with other flowering plants on either side can aid in cross breeding. Similarly, this is also how one contrives a heat-less jalapeno.
"
57,"I'm growing some seedlings in a tray that has a plastic lid. The sun causes moisture to condense on the lid. I was wondering: is this counter-productive, as the condensation then blocks the sun? 



In my opinion, those covers are a bad idea. They create a breeding ground for fungi.
I think the idea is that they keep the soil moist while the seeds are germinating. I can see through your cover that you have plants up. I have had good luck with uncovered trays and simply keeping the soil moist during germination. (I have had fungus problems in the past when I've tried to keep them covered.)
At any rate, it's unlikely that the condensation is blocking enough sun to drop the temperature inside very far, and not below your optimum range for germination.
"
59,"I'm growing some seedlings in a tray that has a plastic lid. The sun causes moisture to condense on the lid. I was wondering: is this counter-productive, as the condensation then blocks the sun? 



Normally, you want to see condensation on your seed tray. It indicates there's a moist atmosphere inside, which is just what the seeds need to germinate. It doesn't block the light in any meaningful way.
I can see that you've got nice green seedlings there, so you're doing great.
"
60,"Researching growing jalapeños, I've seen people mention how water-starving your jalapeño plants can lead to spicier peppers. How true is this? If there's any truth to it, what tips can you provide about watering amounts? How much is too little? Does this vary by the growth stage of the plant?
What other factors affect the spiciness of peppers?


Pepper plants can survive short periods with very little water at all, but I find their fruit lose their structure and become soft. In other words it doesn't sound like a good idea.
Here in North Texas the locals tell me you need good hot weather for hot, spicy peppers. So that is something worth trying, although I find the fruits tend not to set during the hottest months of summer. (I usually grow sweet or mildly spicey varieties)
"
63,"I'm growing some seedlings in a tray that has a plastic lid. The sun causes moisture to condense on the lid. I was wondering: is this counter-productive, as the condensation then blocks the sun? 



The covers help as they not only trap the water, but they also trap the heat inside which allows for better control of soil temperature.
Each species of seed has an optimal soil temperature at which the highest percentage of seeds sown will germinate in the shortest amount of time. Most seed distributors will print this temperature in the seed catalog or on the seed package.
"
65,"When talking about soil and fertilizers, what are the primary nutrients in addition to NPK (Nitrogen, Phosphorus, Potassium) that play a major role in plant development?


Primary macronutrients are NPK as you mention.
From this article on plant nutrients:

The secondary [macro]nutrients are calcium (Ca), magnesium (Mg), and sulfur (S).

and

Micronutrients are those elements essential for plant growth which are needed in only very small (micro) quantities. The micronutrients are boron (B), copper (Cu), iron (Fe), chloride (Cl), manganese (Mn), molybdenum (Mo) and zinc (Zn).

"
67,"I have a lot of trees in my yard...and squirrels.  I'm not 100% sure the squirrels are the critters doing the damage, but it seems the most likely.  My neighbor says he's seen a possum in his yard before...and I'm not ruling out rats or mice.
Anyway, this is the third time this has happened. I hate to start killing squirrels to prevent it;  it's kind of fun looking at them scamper up and down my trees.  Plus, they might not be the offender anyway.
Here's what the damage looks like:



Weaponize some chili pepper oil by putting it in an atomizer or other spray bottle; proceed to spray the equipment.
"
68,"I have been told that debris/pollution from the road will find its way into my plants, but I don't know how much to be concerned about this.
We have a nice porch which could be used as a vegetable garden, but it is near a side street. It is, however, elevated from the street by a good 10-15'. Should I be concerned about toxins in my food?
What about a planter that is much closer? My neighbors have a vegetable garden that is set back about 20' from a major road (45 mph), at ground level. Should they be concerned?


Another thing to be wary of would be salt if you are in a northern climate where the roads are gritted/salted. 
Yes there might be toxins to be wary of - but you breathe those in when you're driving a car anyway.  I.e. the risk would be small compared to other risks. 
"
73,"How often should I fertilize my lawn? Should I follow a certain schedule? I have heard of people fertilizing on around holidays [US: Easter (sometime in April), Memorial day (last week of May), fourth of July, Labor day (first week of September)].  


In upstate NY here - I usually fertilize mine once in Spring (late in May) once in the summer (around mid-July) and once in the Fall (around mid-Sept) and it seems to do the trick just fine.
"
78,"When building a raised bed for a vegetable garden, what do I need to do to properly prepare the soil? It is going to be mixed with different types of vegetables and herbs that I will rotate out all year long. 
Should I buy the more expensive garden soil? Or use essentially use top soil and add the necessary fertilizers?


I don't know about ""properly"", but what we have done on three beds (and it seems to work) is:
Start with roughly 50/50 mix of cheap topsoil bags (tend to be very sandy) and the more expensive garden soil/compost. This will settle to perhaps 50–60% of the alleged contents of the bags. So keep topping up over the next few years when the beds are empty.
Although I might occasionally add the cheap topsoil bags to a young bed that requires a lot of topping-up, I usually top up with ""Shrub compost"" (Lowes sell it in big bags intended for trees and shrubs, but it seems to work very well for peppers and tomatoes); our home-made compost; and ""used"" potting compost (i.e. from pots which have had plants in them).
"
79,"I've been wanting to plant a mango seed; though I live in Phoenix, Arizona.
Firstly, would a mango seed actually grow in my area? Secondly, I'm pretty new to any kind of plant life. So, does anyone have any information on germinating and planting a mango seed?


As to germinating, the information that I can find says to plant with the rounded end up. Wrap it in a damp paper towel in a baggie and keep it someplace warm for a week to a month. Check it to make sure it doesn't mold. If it starts to mold, take it out and plant it.
But that has little to do with where you live. I could get Mango to germinate here in zone 5.
Mango is hardy to zone 10-11. Phoenix is zone 9. You may have trouble with winter kill.
You might be able to make it work if you have a site (or can create a microclimate) that stays warmer. Or if you can find a variety of mango (if such a thing exists, I don't know) that is hardier than the zone 10-11 that I found listed.
"
80,"When building a raised bed for a vegetable garden, what do I need to do to properly prepare the soil? It is going to be mixed with different types of vegetables and herbs that I will rotate out all year long. 
Should I buy the more expensive garden soil? Or use essentially use top soil and add the necessary fertilizers?


If you live in the desert your best bet is to use top soils/composts from elsewhere. Just create the raised bed using wood or rock, then fill in the area with a mix of sand and soil.
If you live in a place where vegetables have a better chance with the native soil, try just adding compost. You'll still need to transfer soil from one part of your yard to another if you want to use a raised bed (which, admittedly, can help with drainage) but it'll be a bit cheaper to start than all of the bags of soil you'd have to purchase from your local nursery.
"
82,"When building a raised bed for a vegetable garden, what do I need to do to properly prepare the soil? It is going to be mixed with different types of vegetables and herbs that I will rotate out all year long. 
Should I buy the more expensive garden soil? Or use essentially use top soil and add the necessary fertilizers?


I too have no expert advice, but I just built wooden boxes (3'x12') and scooped the topsoil from the paths into the beds.  I then laid down sticks, grass, wood chips, etc to fill the lowered walkways.  Over the years the walkways composted beautifully. 
You can move the raised beds, till the whole thing and put the frames in another orientation if you want.
I added a layer of compost in the fall and spring to the tops of the beds.  (before planting and after harvest)
"
85,"I have a vegetable garden that bugs just love. Since my family is going to eat these vegetables (and I'd prefer that the bugs do not), what organic pesticide is most effective? The main culprits are aphids and cabbage loopers (or inch worms) though any pesticide that targets critters that eat leafy vegetables would be helpful.


I'm having good results with Bt (Bacillus thuringiensis), but I don't think aphids are listed on the label as being controlled by it. The main problem I'm solving with Bt is cabbage loopers.
Wikipedia says:

Cry toxins have specific activities against insect species of the orders Lepidoptera (moths and butterflies), Diptera (flies and mosquitoes), Coleoptera (beetles), hymenoptera (wasps, bees, ants and sawflies) and nematodes.

Aphids are order Hemiptera, so it doesn't look like Bt will work on them. I have heard of using tomato leaf or garlic oil spray to control aphids, but haven't had to try either. See this page for recipes, or google around.
"
86,"What are the best conditions for basil to grow? I live in the UK and it never seems to last that long. Recently I've been putting the plants in the shade and drenching them in water, which seems to be working so far.


I am attempting to grow Basil for the first time also, but mine seem to be doing pretty well. From what I found basically they needed a to be planted in soil that will drain well. In a quick google search I found this site that added a few other things:

will not survive indoors
susceptible to cold and frost, and to drastic temperature change

"
95,"What are the best conditions for basil to grow? I live in the UK and it never seems to last that long. Recently I've been putting the plants in the shade and drenching them in water, which seems to be working so far.


In the past it has grown almost like a weed in our pots on our deck here in North Texas. Admittedly we deliberately help it to re-seed itself: we grow it as an annual and winter frosts kill it. The location is hot (often 100F+) and full sun in the afternoon, but they do take quite a bit of water. So perhaps shade is the wrong thing?
"
96,"I've got some old tools (shovels and pitchforks) that were my grandparents. The metal parts look like they were painted (a lot has worn off), I want to sharpen them and fix them up following the advice in Rodales Garden Encyclopedia - sand and reseal the handles and all (they're already in OK shape, but I want to keep them for my kids).
But, I'm just wondering if it's a good idea to repaint the bare metal because I think it would make them dull (not to mention leech into the soil). 
How could I make them look good either way?


My guess is that painting the metal would not hold up well. Shovels and Pitchforks in use basically will run up against things which cause the paint to chip off fairly quickly. I would just try to clean the rust off. A wire brush or a wire brush wheel would probably work well to clean them up. 
As far as the handles, you may want to consider just replacing the handles. Most of the shovels and pitchforks I have seen laying around my grandparents house had a bolt that was used to hold the handle to the metal. I can remember helping my grandpa replace these handles pretty regularly as we broke them over the years.
"
97,"If you have a compost heap, how often should you turn it? Does it make a difference if it's a simple heap (a mound on the ground) or in a tumbler?
Alternately, is it even necessary to turn the heap?


You should turn it to get air in, and to mix stuff up (rather than a lump of grass cuttings, a lump of veg peelings, etc). We have a tumbler and don't turn it anywhere enough out of simple laziness. combined with too many fluids this can result in a smelly anoxic black mess. I think the tumbler was meant to be turned daily, but I usually try to do it every time I put something in.
Mounds require a lot more work to turn so I think people usually do them once or twice a year?
"
99,"If you have a compost heap, how often should you turn it? Does it make a difference if it's a simple heap (a mound on the ground) or in a tumbler?
Alternately, is it even necessary to turn the heap?


You don't need to turn it at all.  But, the typical wisdom is that the more frequently you turn it the faster it will turn into the black stuff you want.
Don't waste your money on a tumbler.  Just make a big pile - then eventually you can also have dividers for different maturity piles.  (Discarded pallets work great for that)
I've grown potatoes and pumpkins on/in a pile that was never turned during the growing season.  Morning glories also sprouted...
"
101,"If you have a compost heap, how often should you turn it? Does it make a difference if it's a simple heap (a mound on the ground) or in a tumbler?
Alternately, is it even necessary to turn the heap?


If you've got a lot of air going through your compost, then you don't need to turn it as much.  One good way to do this is to raise the heap off the ground by putting pine branches underneath it inside some sort of cage.  (Source: Tips for the Lazy Gardner) 
If you're not going to turn it, make sure you cover your greens in dirt every so often (reminds it what it is doing). 
"
105,"I have a vegetable garden that bugs just love. Since my family is going to eat these vegetables (and I'd prefer that the bugs do not), what organic pesticide is most effective? The main culprits are aphids and cabbage loopers (or inch worms) though any pesticide that targets critters that eat leafy vegetables would be helpful.


I use pyretheum. Is it organic enough for your needs? Depends. Back in the UK ""pyretheum"" is the 'natural' variant made from chrysanthenums (and the one I used to go for); and ""pyrethins"" are the synthetic equivalent. But here in the US there does not appear to be any distinction and everything is labeled ""pyrethin"" plus various claims to being a natural pesticide.
Pyretheums are particularly good for delicate plants (I've used them on carnivorous plants - don't laugh!, but hear they're also good for orchids) and veg/fruit. Even though they break down quickly, you would still wash the fruit of course.
My wife (an ecology Univ.Prof.) usually swears by soap solution for aphids, although I haven't seen her use it.
"
109,"I've got some old tools (shovels and pitchforks) that were my grandparents. The metal parts look like they were painted (a lot has worn off), I want to sharpen them and fix them up following the advice in Rodales Garden Encyclopedia - sand and reseal the handles and all (they're already in OK shape, but I want to keep them for my kids).
But, I'm just wondering if it's a good idea to repaint the bare metal because I think it would make them dull (not to mention leech into the soil). 
How could I make them look good either way?


I wouldn't paint, it will scrape off quickly.
Standard advice on preventing rust that I've heard is to take a 5 gallon bucket, fill it with sand, and put a quart of oil in it. When you're done with a tool, shove it in the bucket to give it a coating and it won't rust.
I don't like the idea of petroleum on my food-garden tools, so I'd substitute some kind of veg oil, even at the risk of it becoming rancid over time.
"
111,"I'm going to be moving into my first house soon in Westchester County, NY. I've done a lot of container and patio/balcony gardening and am looking forward to having a real backyard garden.  I want to start composting with worms but am not sure if they are self-sustainable.  
I'm ok with having to buy worms every season (I see that the red wiggler is the worm to get) but am curious about the experience of other vermicomposters in NY and the Northeast.  I've read that an active compost pile can have a temp of 125 degrees Fahrenheit. I assume that worms will move out of my compost material when it gets that hot but what happens in the winter when it gets near zero?  


This might be an off topic answer since it doesn't involve wintering directly in your heap, but you can keep worms in a large rubbermade container in your (new) garage, feed them some of the stuff you'd put in your compost pile (cantaloupes perhaps). 
"
114,"I have a vegetable garden that bugs just love. Since my family is going to eat these vegetables (and I'd prefer that the bugs do not), what organic pesticide is most effective? The main culprits are aphids and cabbage loopers (or inch worms) though any pesticide that targets critters that eat leafy vegetables would be helpful.


I've used neem tree oil mixed with organic dish soap on edible container grown fruits and veggies and have always had good luck.  Neem oil is edible but you'd probably want to wash your fruits/vegetables before eating because the oil is quite bitter.  
"
115,"I have a section of my lawn which seems prone to standing water, grass that doesn't grow very quickly, and seems very hard-packed. I think it's probably in desperate need of aeration.
What is the proper way to know when and how much to aerate? Also, since I have a small lawn, is there such a thing as a small lawn aerator and will it get the job done?
Edit:
As it turns out, there is a small aerator, like this one:

I purchased one recently and it works rather well. Obviously not a good choice for a sizable lawn, but for my small lawn this worked extremely well. I'm seeing some improvement already in the grass gradually becoming more green.


You can aerate your lawn with a sturdy pitchfork (as well as weed it). But I'd imagine you'd have a hard time doing it when things get too dry or cold. I don't know if there is a bad time to do it while it is possible. 
You can also spread compost around your lawn, adding nutrients might fix some of the problems you have with hardpacked soil.
"
116,"I've got some old tools (shovels and pitchforks) that were my grandparents. The metal parts look like they were painted (a lot has worn off), I want to sharpen them and fix them up following the advice in Rodales Garden Encyclopedia - sand and reseal the handles and all (they're already in OK shape, but I want to keep them for my kids).
But, I'm just wondering if it's a good idea to repaint the bare metal because I think it would make them dull (not to mention leech into the soil). 
How could I make them look good either way?


I'm assuming you want to keep using these tools, and not just clean them up for display.  I'd avoid painting them, at least with anything you'd pick up at the local Home Depot.  There are, of course, ways of applying paint to metal that are more durable (think of they guys who are painting and repainting cars using professional spray gear), but that's probably not worth the effort here.  The best way I've found is just to make sure you clean them up and store them in a place that allows them to dry out and stay dry.  I know people who use the oil and sand technique for over-wintering, but I've never had the nerve or space to have a large bucket of sand in my shed.  I do sometimes use a little mineral oil and a rag, which probably works almost as well when you're storing tools for a few wet, winter months.
"
118,"What techniques can be used to discourage cilantro from bolting too quickly? I plant them and it seems that they almost immediately go to seed after they've reached maturity.


I've found cilantro to be a tough one for avoiding bolting (at least in the Seattle area).  I've never seen any different varieties that claim to have more or less bolting tendencies.  The only thing I've every really been able to do is to work around the bolting by continuous planting, so you have plants that are at different points in their growth.  You could also see if it helps to move to an area with less sun, though that will also slow their growth in general.  You could try starting them indoors, getting a fair amount of growth, then moving them outside to a slightly cooler, shadier spot in the garden.
"
120,"I have several african violets in special clay pots. The pots kind of resemble a double boiler, and the lower pot is filled with water, then the upper section, containing the plant, is unglazed on its bottom half. 
If I add fertilizer to the water in the lower pot, will it diffuse through the clay to the soil? Or do I need to apply it directly to the soil or directly water the violet every now and then?


That depends largely on the fertilizer. 
Most ""liquid fertilizers"" are made up of  soluble salts that will pass through the porous clay wall. But if the fertilizer contains an organic component, some of the ingredients will not be in solution, but only suspended in the fertilizer. That suspended material will likely be filtered out by the clay surface.
Try dissolving some of the fertilizer in a clear glass with some water and let it sit. If you do not see material settling on the bottom of the glass, it will almost certainly permeate the clay pot. If you see a lot of particulate matter settling on the bottom, it probably will not be able to penetrate the clay surface.
"
126,"After starting our tomato plants from seed this year, we have many more small plants in the ground than in the past years. We are looking to make our own inexpensive and durable cages that we could use year after year. 
What are starting materials that we can use? Are there materials to avoid? It seems that the openings in chicken wire and hardware cloth are too narrow. 


You can make a tomatoe teepee from three pieces of trim and some jute twine. 
Allow me to demonstrate:
   /|\
  / | \
 /  |  \
/  TOM  \


   /|\
  / | \
 / TOM \
/   T   \


   /|\
  TOMAT
 / TOM \
/   T   \


 TOMATOES 
  TOMAT
 / TOM \
/   T   \



"
127,"It's said that we shouldn't use manure when preparing ground intended for carrots. Is it that carrots don't thrive on manure, or is it that they fork and splinter too much?
What about other roots? Radishes, beetroots etc?


Fresh manure can cause carrots to fork. If you use any fertilizer, make sure it's well-rotted manure instead. (source)
I've read that the same goes for beets as well. 
"
131,"Our neighbor's cat keeps pooping in our mulch and around our yard. Is there a safe and effective way to stop neighborhood pets from doing so? Has anyone used a method that works well?


The usual advice (eg. on UK's ""Gardener's Question Time"") is to get some lion or tiger manure or urine, and to put that along your boundary line. At one time you had to wait until the circus was in town, but I think I heard somewhere that it was possible to buy big cat urine extract for this purpose. (It isn't a problem we have - we have a dog instead.)
I just did a quick Google and came up with a few including this which is pellet form so probably not as smelly. 
There are so many potential puns here, let's just assume I said them all...
"
134,"Our neighbor's cat keeps pooping in our mulch and around our yard. Is there a safe and effective way to stop neighborhood pets from doing so? Has anyone used a method that works well?


Holly leaves or other sharp thorny plants are a good deterrent, but obviously only work in areas where you are happy for such plants to exist!
"
